x,y,z
609599.471361,268024.428893,-13220.03418
609624.635501,268024.744016,-13221.50293
609649.861158,268024.783813,-13223.405762
609675.035502,268024.94448,-13225.210449
609700.285474,268024.79253,-13227.54248
609725.480265,268024.776741,-13229.702148
609750.767205,268024.411203,-13232.490234
609775.988413,268024.20659,-13234.941895
609801.315255,268023.634862,-13238.108398
609826.571343,268023.231415,-13240.89502
609851.949803,268022.432471,-13244.511719
609877.255653,268021.799549,-13247.719238
609902.701361,268020.753187,-13251.933594
609928.070772,268019.870401,-13255.719727
609953.584057,268018.593758,-13260.687012
609979.031987,268017.449993,-13265.367676
610004.640801,268015.897745,-13271.351563
610030.180503,268014.489345,-13277.07666
610055.887169,268012.676111,-13284.13916
610081.537999,268010.969277,-13291.115234
610107.340268,268008.910564,-13299.123535
610133.091456,268006.950985,-13307.183105
610158.980061,268004.687552,-13315.835449
610184.837471,268002.477002,-13324.789063
610210.786448,268000.075313,-13333.575195
610236.719324,267997.698493,-13342.904297
610262.715062,267995.203406,-13351.42041
610288.702676,267992.718453,-13360.596191
610314.71742,267990.210625,-13368.466797
610340.732687,267987.695294,-13376.884766
610366.739857,267985.235291,-13383.444824
610392.772481,267982.727604,-13390.921387
610418.770517,267980.33425,-13396.334961
610444.80194,267977.875091,-13402.532227
610470.783422,267975.570528,-13406.653809
610496.818022,267973.159609,-13411.817871
610522.795446,267970.926099,-13415.071289
610548.831544,267968.575622,-13419.174316
610574.824662,267966.379347,-13421.986816
610601.787103,267938.261834,-13427.822266
610601.787103,267938.261834,-13427.822266
610653.789824,267933.976955,-13432.855469
610653.789824,267933.976955,-13432.855469
610705.792997,267929.841544,-13436.990234
610705.792997,267929.841544,-13436.990234
610757.845063,267925.770475,-13441.416992
609322.020988,268041.716152,-13204.467773
609372.421324,268043.746084,-13205.574219
609397.62712,268044.564582,-13206.160645
609422.832915,268045.383079,-13206.74707
609448.014433,268046.092655,-13207.481934
609473.19595,268046.802231,-13208.216797
609498.365028,268047.385343,-13209.119629
609523.534106,268047.968456,-13210.022461
609548.694767,268048.430897,-13211.163086
609573.855429,268048.893338,-13212.303711
609599.019569,268049.208461,-13213.772461
609624.183709,268049.523584,-13215.241211
609649.358054,268049.684251,-13217.045898
609674.532398,268049.844918,-13218.850586
609699.727189,268049.82913,-13221.010254
609724.921981,268049.813341,-13223.169922
609750.143189,268049.608728,-13225.621582
609775.364397,268049.404116,-13228.073242
609800.620485,268049.000669,-13230.859863
609825.876574,268048.597223,-13233.646484
609851.182424,268047.964301,-13236.854004
609876.488274,268047.331379,-13240.061523
609901.857685,268046.448592,-13243.847656
609927.227096,268045.565805,-13247.633789
609952.675026,268044.42204,-13252.314453
609978.122956,268043.278276,-13256.995117
610003.662659,268041.869875,-13262.720215
610029.202362,268040.461475,-13268.445313
610054.853192,268038.754641,-13275.421387
610080.504022,268037.047807,-13282.397461
610106.25521,268035.088228,-13290.457031
610132.006398,268033.12865,-13298.516602
610157.863807,268030.9181,-13307.470215
610183.721217,268028.70755,-13316.423828
610209.654093,268026.33073,-13325.75293
610235.586968,268023.953911,-13335.082031
610261.574582,268021.468958,-13344.257813
610287.562197,268018.984004,-13353.433594
610313.577465,268016.468674,-13361.851563
610339.592732,268013.953343,-13370.269531
610365.625356,268011.445656,-13377.746094
610391.657979,268008.937969,-13385.222656
610417.689402,268006.47881,-13391.419922
610443.720826,268004.01965,-13397.617188
